,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements,Month
4,1121436240690249984,https://twitter.com/CDNScience/status/1121436240690253825,"Congratulations to the winners of this yearâ€™s #STEAMHorizon Awards!
https://t.co/kYxegcfJvX #ChooseScience https://t.co/PH7Ikkk214",2019-04-25 15:30 +0000,6734,116,0.0172260172260172,14,0,29,4,20,0,15,0,0,0,0,0,0,34,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
5,1121429032745280000,https://twitter.com/CDNScience/status/1121429032745283585,"What did life on earth look like 580 million years ago? Mistaken Point, a globally recognized fossil site in Newfoundland, gives us a glimpse! https://t.co/F9RYeuKiNo @UNESCO #ThrowbackThursday 
ðŸ“¸: Newfoundland and Labrador Tourism/Barrett and MacKay https://t.co/tHsSDpRhs6",2019-04-25 15:01 +0000,1579,7,0.00443318556048131,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
6,1121080137670370048,https://twitter.com/CDNScience/status/1121080137670373377,"Science Odyssey is ðŸ‡¨ðŸ‡¦â€™s biggest celebration of #science, #technology, #engineering, #arts and #mathematics (STEAM)! Learn how you can get involved: https://t.co/lsbxEE2386 @Sci_Od @NSERC_CRSNG #OdySci https://t.co/R441PaeOsJ",2019-04-24 15:55 +0000,8103,111,0.0136986301369863,16,0,30,16,25,1,17,0,0,0,1,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
7,1121066577275879936,https://twitter.com/CDNScience/status/1121066577275883520,"#ScienceExposed is a photo contest devoted exclusively to images of scientific research in all fields of study. Check out some of the amazing submissions from past winners: https://t.co/1CcFUKK3TI @NSERC_CRSNG
ðŸ“¸: Euripidis Papanicolaou https://t.co/97BJgUtnsc",2019-04-24 15:01 +0000,3647,41,0.0112421168083356,1,0,9,1,7,2,7,0,0,0,0,0,0,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
8,1120704126202130048,https://twitter.com/CDNScience/status/1120704126202130434,Learn how a ðŸ‡¨ðŸ‡¦-wide research project is combining #genomics and citizen science to protect our freshwater resources! https://t.co/AffkBCWiYY https://t.co/eJSmmYdoHS,2019-04-23 15:01 +0000,1545,22,0.0142394822006472,0,0,4,1,9,0,7,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
9,1120341876500979968,https://twitter.com/CDNScience/status/1120341876500987905,Happy #EarthDay! What better way to celebrate our planet than by exploring the wonders that lie in the oceans off Canadaâ€™s coasts? https://t.co/uULfBy03vr @FishOceansCAN,2019-04-22 15:01 +0000,1735,16,0.00922190201729106,1,0,5,1,1,0,8,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
10,1119254642356099968,https://twitter.com/CDNScience/status/1119254642356105216,"In microgravity, astronautsâ€™ bones and muscles donâ€™t have the weight to support their bodies. So how do they exercise in space? Check it out: https://t.co/LpeM2mjNoD @Space_Station @csa_asc #cdnspace
ðŸ“¸: @NASA https://t.co/QfQ2Ta43DH",2019-04-19 15:01 +0000,9793,116,0.0118451955478402,8,2,30,8,14,0,23,0,0,0,0,0,0,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
11,1118892252204600064,https://twitter.com/CDNScience/status/1118892252204605441,"In-bed cycling has the potential to help ICU patients avoid muscle loss, which can limit their mobility for years. Learn more: https://t.co/keWRphyntd #CdnHealth 
ðŸ“¸: Marta Hewson Photography https://t.co/WnWm2xBhM1",2019-04-18 15:01 +0000,1978,27,0.0136501516683518,1,0,10,0,5,1,1,0,0,0,0,0,0,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
12,1118181028479270016,https://twitter.com/CDNScience/status/1118181028479275008,Train your brain with this #TriviaTuesday quiz about physical activity: https://t.co/u0qastqCVr #CdnHealth https://t.co/kZSgClWc89,2019-04-16 15:55 +0000,6612,79,0.0119479733817301,3,0,5,2,35,10,3,0,0,0,0,0,0,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
13,1118173488202819968,https://twitter.com/CDNScience/status/1118173488202829826,#YourBudget2019 builds on last yearâ€™s historic investments in ðŸ‡¨ðŸ‡¦â€™s research talent. https://t.co/EshHAxTnXj @yorkuniversity #CanadaSupportsScience https://t.co/HBFNFs3oho,2019-04-16 15:25 +0000,2364,94,0.0397631133671742,3,1,10,5,16,1,17,0,0,0,0,0,0,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
14,1117812415247399936,https://twitter.com/CDNScience/status/1117812415247409153,"Elite athletes need talent, perseverance and a pinch of science to succeed! @NRC_CNRC researcher Annick Dâ€™Auteuil helps athletes achieve optimal performance by studying the aerodynamics of their equipment. https://t.co/0L2Vr0Djx6",2019-04-15 15:30 +0000,5339,39,0.00730473871511519,6,0,11,2,0,0,7,0,0,0,0,0,0,432,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
15,1116717924411219968,https://twitter.com/CDNScience/status/1116717924411224066,Happy #InternationalDayofHumanSpaceFlight! Join us in remembering some of ðŸ‡¨ðŸ‡¦â€™s science experiments aboard the iconic @Space_Station! https://t.co/bAfunGzHrk #FlashbackFriday https://t.co/0VmXIIu65X,2019-04-12 15:01 +0000,1655,13,0.00785498489425982,0,0,0,0,4,0,5,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
16,1116369493079529984,https://twitter.com/CDNScience/status/1116369493079539713,#WomenInSTEM! https://t.co/vj5WJieJqc,2019-04-11 15:56 +0000,4580,59,0.0128820960698689,10,0,34,4,0,1,10,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
17,1116369086290770048,https://twitter.com/CDNScience/status/1116369086290771969,How do #Cdn farmers adapt to seasonal shifts and unpredictable changes in climate? Science plays a role: https://t.co/NewxBINaDs #CdnAg https://t.co/0oNHsZhF2z,2019-04-11 15:55 +0000,1598,4,0.00250312891113892,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
18,1116350958961810048,https://twitter.com/CDNScience/status/1116350958961819652,"For the first time ever, astronomers have captured an image of a black hole! Learn about ðŸ‡¨ðŸ‡¦â€™s contribution to this incredible milestone: https://t.co/I37Bts1lXd @UWaterloo #CdnScience https://t.co/zm4rFdWEdQ",2019-04-11 14:43 +0000,4492,178,0.0396260017809439,7,1,35,19,43,0,21,0,0,0,1,0,0,51,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
19,1115993137074320000,https://twitter.com/CDNScience/status/1115993137074327553,Climate fluctuations can make reforestation projects difficult. @NRCanâ€™s Joanne MacDonald is studying the potential of a secret ingredient to help strengthen tree seedlings: https://t.co/IRuiZ3lMCT #PlantScience https://t.co/gFtkTuBPHY,2019-04-10 15:01 +0000,4379,39,0.00890614295501256,5,1,12,2,5,0,9,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
20,1115673524297959936,https://twitter.com/CDNScience/status/1115673524297961473,"#Attn, plant lovers! From pathology to botany, the Plant Science Scan from @CFIA_Canada is a one-stop shop for all things plants! Get in the know: https://t.co/T4e8St6upg #PlantScience https://t.co/uVlFK4CCix",2019-04-09 17:51 +0000,3596,19,0.00528364849833147,2,0,3,1,7,0,4,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
21,1115281924073900032,https://twitter.com/CDNScience/status/1115281924073906176,PlantWatch is a program that encourages citizen scientists (thatâ€™s you!) to help researchers who study the ecological changes in our environment. Learn how you can get involved: https://t.co/Cy2MYPF3Od #PlantScience https://t.co/Nta5etDqOh,2019-04-08 15:55 +0000,1945,13,0.00668380462724935,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
22,1114194771663250048,https://twitter.com/CDNScience/status/1114194771663257600,"#OTD in 1958, BCâ€™s Ripple Rock was levelled in one of the worldâ€™s largest controlled non-nuclear explosions! Hereâ€™s why it was a big deal: https://t.co/wqOHFfc4DL #FlashbackFriday https://t.co/3IwFHYSXjR",2019-04-05 15:55 +0000,3839,40,0.0104193800468872,1,0,2,4,21,0,0,0,0,0,0,0,0,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
23,1113832370698840064,https://twitter.com/CDNScience/status/1113832370698846209,Tuberculosis disproportionately affects Indigenous peoples in ðŸ‡¨ðŸ‡¦. @GovCanHealth is using state-of-the-art mobile labs to reduce TB rates among our most underserved groups: https://t.co/DULfvvIT9o #cdnhealth https://t.co/I5iYEesamT,2019-04-04 15:55 +0000,9120,65,0.00712719298245614,7,1,7,6,11,1,13,0,0,0,0,0,0,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
